,Country,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
0,Afghanistan,AFG,6500,6900,6700
1,Albania,ALB,0,0,0
2,Algeria,DZA,14000,15000,14500
3,American Samoa,ASM,0,0,0
4,Andorra,AND,0,0,0
5,Angola,AGO,280000,300000,290000
6,Antigua and Barbuda,ATG,0,0,0
7,Arab World,ARB,0,0,0
8,Argentina,ARG,130000,140000,135000
9,Armenia,ARM,3500,3500,3500
10,Aruba,ABW,0,0,0
11,Australia,AUS,27000,28000,27500
12,Austria,AUT,0,0,0
13,Azerbaijan,AZE,0,0,0
14,"Bahamas, The",BHS,5800,5800,5800
15,Bahrain,BHR,0,0,0
16,Bangladesh,BGD,13000,13000,13000
17,Barbados,BRB,2900,3000,2950
18,Belarus,BLR,25000,26000,25500
19,Belgium,BEL,0,0,0
20,Belize,BLZ,4600,4700,4650
21,Benin,BEN,67000,68000,67500
22,Bermuda,BMU,0,0,0
23,Bhutan,BTN,1300,1300,1300
24,Bolivia,BOL,21000,22000,21500
25,Bosnia and Herzegovina,BIH,500,500,500
26,Botswana,BWA,350000,350000,350000
27,Brazil,BRA,0,0,0
28,British Virgin Islands,VGB,0,0,0
29,Brunei Darussalam,BRN,0,0,0
30,Bulgaria,BGR,3200,3500,3350
31,Burkina Faso,BFA,88000,86000,87000
32,Burundi,BDI,71000,71000,71000
33,Cabo Verde,CPV,2300,2400,2350
34,Cambodia,KHM,71000,70000,70500
35,Cameroon,CMR,490000,490000,490000
36,Canada,CAN,0,0,0
37,Caribbean small states,CSS,0,0,0
38,Cayman Islands,CYM,0,0,0
39,Central African Republic,CAF,100000,99000,99500
40,Central Europe and the Baltics,CEB,0,0,0
41,Chad,TCD,100000,100000,100000
42,Channel Islands,CHI,0,0,0
43,Chile,CHL,66000,71000,68500
44,China,CHN,0,0,0
45,Colombia,COL,150000,150000,150000
46,Comoros,COM,200,200,200
47,"Congo, Dem. Rep.",COD,380000,390000,385000
48,"Congo, Rep.",COG,81000,82000,81500
49,Costa Rica,CRI,14000,15000,14500
50,Cote d'Ivoire,CIV,430000,430000,430000
51,Croatia,HRV,1500,1600,1550
52,Cuba,CUB,29000,31000,30000
53,Curacao,CUW,0,0,0
54,Cyprus,CYP,0,0,0
55,Czech Republic,CZE,3900,4400,4150
56,Denmark,DNK,6200,6200,6200
57,Djibouti,DJI,7900,8000,7950
58,Dominica,DMA,0,0,0
59,Dominican Republic,DOM,68000,68000,68000
60,Early-demographic dividend,EAR,0,0,0
61,East Asia & Pacific,EAS,0,0,0
62,East Asia & Pacific (excluding high income),EAP,0,0,0
63,East Asia & Pacific (IDA & IBRD countries),TEA,0,0,0
64,Ecuador,ECU,42000,43000,42500
65,"Egypt, Arab Rep.",EGY,19000,21000,20000
66,El Salvador,SLV,25000,25000,25000
67,Equatorial Guinea,GNQ,54000,57000,55500
68,Eritrea,ERI,16000,16000,16000
69,Estonia,EST,7200,7300,7250
70,Eswatini,SWZ,190000,190000,190000
71,Ethiopia,ETH,640000,650000,645000
72,Euro area,EMU,0,0,0
73,Europe & Central Asia,ECS,0,0,0
74,Europe & Central Asia (excluding high income),ECA,0,0,0
75,Europe & Central Asia (IDA & IBRD countries),TEC,0,0,0
76,European Union,EUU,0,0,0
77,Faroe Islands,FRO,0,0,0
78,Fiji,FJI,0,0,0
79,Finland,FIN,3800,3900,3850
80,Fragile and conflict affected situations,FCS,0,0,0
81,France,FRA,170000,180000,175000
82,French Polynesia,PYF,0,0,0
83,Gabon,GAB,49000,50000,49500
84,"Gambia, The",GMB,23000,24000,23500
85,Georgia,GEO,8900,9300,9100
86,Germany,DEU,85000,87000,86000
87,Ghana,GHA,300000,310000,305000
88,Gibraltar,GIB,0,0,0
89,Greece,GRC,0,0,0
90,Greenland,GRL,0,0,0
91,Grenada,GRD,0,0,0
92,Guam,GUM,0,0,0
93,Guatemala,GTM,45000,45000,45000
94,Guinea,GIN,110000,110000,110000
95,Guinea-Bissau,GNB,38000,39000,38500
96,Guyana,GUY,7800,7900,7850
97,Haiti,HTI,150000,150000,150000
98,Heavily indebted poor countries (HIPC),HPC,0,0,0
99,High income,HIC,0,0,0
100,Honduras,HND,22000,22000,22000
101,"Hong Kong SAR, China",HKG,0,0,0
102,Hungary,HUN,3500,3700,3600
103,Iceland,ISL,500,500,500
104,India,IND,0,0,0
105,Indonesia,IDN,620000,620000,620000
106,"Iran, Islamic Rep.",IRN,59000,60000,59500
107,Iraq,IRQ,0,0,0
108,Ireland,IRL,6800,7200,7000
109,Isle of Man,IMN,0,0,0
110,Israel,ISR,8600,9000,8800
111,Italy,ITA,130000,130000,130000
112,Jamaica,JAM,39000,40000,39500
113,Japan,JPN,29000,30000,29500
114,Jordan,JOR,500,500,500
115,Kazakhstan,KAZ,23000,25000,24000
116,Kenya,KEN,1400000,1400000,1400000
117,Kiribati,KIR,0,0,0
118,"Korea, Dem. Peopleâ€™s Rep.",PRK,0,0,0
119,"Korea, Rep.",KOR,0,0,0
120,Kosovo,XKX,0,0,0
121,Kuwait,KWT,600,640,620
122,Kyrgyz Republic,KGZ,7900,8200,8050
123,Lao PDR,LAO,11000,11000,11000
124,Late-demographic dividend,LTE,0,0,0
125,Latin America & Caribbean,LCN,0,0,0
126,Latin America & Caribbean (excluding high income),LAC,0,0,0
127,Latin America & the Caribbean (IDA & IBRD countries),TLA,0,0,0
128,Latvia,LVA,5000,5300,5150
129,Least developed countries: UN classification,LDC,0,0,0
130,Lebanon,LBN,2400,2500,2450
131,Lesotho,LSO,330000,330000,330000
132,Liberia,LBR,36000,36000,36000
133,Libya,LBY,8700,8900,8800
134,Liechtenstein,LIE,0,0,0
135,Lithuania,LTU,0,0,0
136,Low & middle income,LMY,0,0,0
137,Low income,LIC,0,0,0
138,Lower middle income,LMC,0,0,0
139,Luxembourg,LUX,1100,1200,1150
140,"Macao SAR, China",MAC,0,0,0
141,Madagascar,MDG,33000,37000,35000
142,Malawi,MWI,950000,970000,960000
143,Malaysia,MYS,84000,87000,85500
144,Maldives,MDV,0,0,0
145,Mali,MLI,130000,130000,130000
146,Malta,MLT,0,0,0
147,Marshall Islands,MHL,0,0,0
148,Mauritania,MRT,5400,5300,5350
149,Mauritius,MUS,12000,12000,12000
150,Mexico,MEX,220000,230000,225000
151,"Micronesia, Fed. Sts.",FSM,0,0,0
152,Middle East & North Africa,MEA,0,0,0
153,Middle East & North Africa (excluding high income),MNA,0,0,0
154,Middle East & North Africa (IDA & IBRD countries),TMN,0,0,0
155,Middle income,MIC,0,0,0
156,Moldova,MDA,17000,17000,17000
157,Monaco,MCO,0,0,0
158,Mongolia,MNG,580,600,590
159,Montenegro,MNE,500,500,500
160,Morocco,MAR,20000,21000,20500
161,Mozambique,MOZ,2000000,2000000,2000000
162,Myanmar,MMR,230000,230000,230000
163,Namibia,NAM,190000,190000,190000
164,Nauru,NRU,0,0,0
165,Nepal,NPL,29000,29000,29000
166,Netherlands,NLD,23000,11500,11500
167,New Caledonia,NCL,0,0,0
168,New Zealand,NZL,3500,3600,3550
169,Nicaragua,NIC,9000,9200,9100
170,Niger,NER,34000,34000,34000
171,Nigeria,NGA,1700000,1800000,1750000
172,North America,NAC,0,0,0
173,North Macedonia,MKD,500,500,500
174,Northern Mariana Islands,MNP,0,0,0
175,Norway,NOR,5700,5800,5750
176,Not classified,INX,0,0,0
177,OECD members,OED,0,0,0
178,Oman,OMN,3000,3200,3100
179,Other small states,OSS,0,0,0
180,Pacific island small states,PSS,0,0,0
181,Pakistan,PAK,140000,160000,150000
182,Palau,PLW,0,0,0
183,Panama,PAN,25000,26000,25500
184,Papua New Guinea,PNG,41000,42000,41500
185,Paraguay,PRY,21000,21000,21000
186,Peru,PER,75000,77000,76000
187,Philippines,PHL,65000,77000,71000
188,Poland,POL,0,0,0
189,Portugal,PRT,41000,41000,41000
190,Post-demographic dividend,PST,0,0,0
191,Pre-demographic dividend,PRE,0,0,0
192,Puerto Rico,PRI,0,0,0
193,Qatar,QAT,0,0,0
194,Romania,ROU,17000,18000,17500
195,Russian Federation,RUS,0,0,0
196,Rwanda,RWA,210000,210000,210000
197,Samoa,WSM,0,0,0
198,San Marino,SMR,0,0,0
199,Sao Tome and Principe,STP,0,0,0
200,Saudi Arabia,SAU,0,0,0
201,Senegal,SEN,38000,38000,38000
202,Serbia,SRB,2900,3000,2950
203,Seychelles,SYC,0,0,0
204,Sierra Leone,SLE,61000,63000,62000
205,Singapore,SGP,7800,7900,7850
206,Sint Maarten (Dutch part),SXM,0,0,0
207,Slovak Republic,SVK,1100,1200,1150
208,Slovenia,SVN,0,0,0
209,Small states,SST,0,0,0
210,Solomon Islands,SLB,0,0,0
211,Somalia,SOM,9900,9500,9700
212,South Africa,ZAF,7300000,7500000,7400000
213,South Asia,SAS,0,0,0
214,South Asia (IDA & IBRD),TSA,0,0,0
215,South Sudan,SSD,170000,180000,175000
216,Spain,ESP,150000,150000,150000
217,Sri Lanka,LKA,3500,3400,3450
218,St. Kitts and Nevis,KNA,0,0,0
219,St. Lucia,LCA,0,0,0
220,St. Martin (French part),MAF,0,0,0
221,St. Vincent and the Grenadines,VCT,0,0,0
222,Sub-Saharan Africa,SSF,0,0,0
223,Sub-Saharan Africa (excluding high income),SSA,0,0,0
224,Sub-Saharan Africa (IDA & IBRD countries),TSS,0,0,0
225,Sudan,SDN,53000,55000,54000
226,Suriname,SUR,5400,5500,5450
227,Sweden,SWE,0,0,0
228,Switzerland,CHE,0,0,0
229,Syrian Arab Republic,SYR,590,620,605
230,Tajikistan,TJK,12000,12000,12000
231,Tanzania,TZA,1400000,1500000,1450000
232,Thailand,THA,490000,480000,485000
233,Timor-Leste,TLS,0,0,0
234,Togo,TGO,94000,95000,94500
235,Tonga,TON,0,0,0
236,Trinidad and Tobago,TTO,0,0,0
237,Tunisia,TUN,2600,2800,2700
238,Turkey,TUR,0,0,0
239,Turkmenistan,TKM,0,0,0
240,Turks and Caicos Islands,TCA,0,0,0
241,Tuvalu,TUV,0,0,0
242,Uganda,UGA,1300000,1300000,1300000
243,Ukraine,UKR,230000,240000,235000
244,United Arab Emirates,ARE,0,0,0
245,United Kingdom,GBR,100000,50000,50000
246,United States,USA,0,0,0
247,Upper middle income,UMC,0,0,0
248,Uruguay,URY,13000,14000,13500
249,Uzbekistan,UZB,43000,46000,44500
250,Vanuatu,VUT,0,0,0
251,"Venezuela, RB",VEN,120000,110000,115000
252,Vietnam,VNM,230000,220000,225000
253,Virgin Islands (U.S.),VIR,0,0,0
254,West Bank and Gaza,PSE,0,0,0
255,World,WLD,35400000,36200000,35800000
256,"Yemen, Rep.",YEM,9800,10000,9900
257,Zambia,ZMB,1100000,1200000,1150000
258,Zimbabwe,ZWE,1200000,1200000,1200000
